238.424	-0.573	0.078
237.946	-0.105	0.055
236.222	0.405	0.034
236.798	0.407	0.033
236.31	0.773	0.013
238.231	0.719	0.033
238.49	0.689	0.039
165.342	-1.14	0.074
170.001	-1.119	0.025
171.036	-1.157	0.03
172.742	-1.147	0.049
174.639	-1.184	0.021
177.258	-1.102	0.02
179.864	-1.155	0.021
180.482	-1.069	0.021
184.536	-1.064	0.019
190.497	-1.178	0.024
190.739	-1.229	0.011
191.971	-1.185	0.024
192.25	-1.159	0.089
196.774	-1.176	0.019
198.155	-1.197	0.086
203.23	-1.159	0.013
204.806	-1.12	0.015
211.842	-1.096	0.056
216.373	-1.066	0.056
165.364	-0.718	0.045
166.134	-0.73	0.02
166.289	-0.796	0.034
167.821	-0.824	0.065
170.099	-0.799	0.068
170.863	-0.713	0.041
171.397	-0.768	0.026
173.19	-0.741	0.023
178.909	-0.77	0.065
180.367	-0.718	0.021
183.548	-0.831	0.025
184.205	-0.741	0.071
184.471	-0.657	0.03
191.634	-0.643	0.083
194.314	-0.657	0.024
195.515	-0.836	0.085
197.209	-0.817	0.018
197.231	-0.801	0.02
197.266	-0.766	0.018
200.646	-0.679	0.046
209.487	-0.666	0.07
211.216	-0.641	0.025
211.356	-0.811	0.05
212.003	-0.821	0.055
212.612	-0.832	0.026
213.066	-0.633	0.026
213.104	-0.832	0.027
213.753	-0.796	0.039
214.121	-0.743	0.049
215.458	-0.777	0.055
216.046	-0.678	0.051
226.446	-0.714	0.036
227.376	-0.771	0.038
229.465	-0.793	0.038
229.444	-0.776	0.037
231.349	-0.709	0.039
232.639	-0.809	0.077
233.791	-0.663	0.067
165.195	-0.396	0.044
165.956	-0.21	0.022
166.409	-0.217	0.032
168.998	-0.349	0.026
169.68	-0.361	0.041
173.99	-0.273	0.066
177.169	-0.286	0.048
180.755	-0.291	0.041
181.08	-0.315	0.094
184.469	-0.362	0.041
184.668	-0.256	0.08
188.537	-0.355	0.023
190.938	-0.357	0.048
197.86	-0.249	0.013
199.499	-0.295	0.034
201.26	-0.378	0.076
202.223	-0.322	0.047
202.453	-0.294	0.022
203.769	-0.306	0.087
204.609	-0.227	0.013
204.69	-0.416	0.013
205.534	-0.275	0.089
209.53	-0.392	0.03
210.545	-0.236	0.045
210.761	-0.335	0.06
211.506	-0.31	0.025
211.973	-0.324	0.054
213.682	-0.282	0.039
216.883	-0.29	0.054
217.3	-0.237	0.035
219.569	-0.349	0.037
223.046	-0.256	0.044
223.067	-0.293	0.044
226.185	-0.351	0.055
227.108	-0.266	0.091
227.467	-0.384	0.072
227.733	-0.323	0.073
227.905	-0.272	0.051
229.097	-0.301	0.051
230.103	-0.225	0.029
230.892	-0.395	0.029
231.849	-0.252	0.038
232.304	-0.252	0.089
232.689	-0.369	0.038
168.272	0.004	0.04
168.235	0.166	0.039
168.276	0.07	0.04
168.843	0.116	0.028
169.001	0.151	0.076
169.735	0.177	0.025
170.228	0.173	0.025
170.764	0.058	0.069
173.664	0.125	0.029
173.847	0.091	0.03
175.725	0.162	0.019
176.36	0.005	0.014
177.845	0.118	0.048
179.791	0.002	0.048
180.271	0.114	0.021
182.098	0.111	0.041
182.131	0.137	0.035
186.114	0.153	0.026
187.114	0.143	0.023
189.969	0.126	0.023
190.707	0.025	0.049
191.698	0.118	0.088
197.687	0.033	0.041
197.875	0.15	0.064
200.467	0.14	0.035
202.205	0.05	0.049
208.429	0.061	0.03
208.687	0.116	0.03
210.409	0.068	0.086
211.031	0.145	0.048
213.375	0.186	0.026
214.343	0.024	0.054
214.648	0.158	0.054
215.616	0.06	0.032
217.583	0.12	0.057
218.917	0.205	0.03
221.079	0.042	0.029
222.72	0.095	0.043
223.404	0.006	0.044
225.202	0.177	0.042
225.439	0.009	0.041
226.729	0.187	0.036
227.207	0.179	0.054
227.565	0.041	0.064
229.364	0.12	0.035
230.746	0.099	0.059
237.331	0.183	0.032
237.499	0.202	0.033
167.233	0.445	0.013
169.039	0.574	0.029
169.707	0.62	0.026
170.201	0.469	0.025
170.205	0.46	0.025
170.202	0.581	0.041
170.249	0.535	0.025
170.777	0.613	0.064
172.623	0.495	0.029
175.999	0.429	0.029
179.346	0.488	0.048
180.1	0.491	0.026
182.37	0.534	0.02
187.28	0.582	0.024
187.785	0.614	0.024
187.797	0.607	0.024
189.844	0.461	0.024
190.912	0.548	0.064
192.822	0.521	0.014
195.267	0.574	0.079
199.295	0.528	0.025
201.909	0.449	0.037
202.529	0.51	0.085
204.284	0.453	0.048
205.496	0.602	0.048
208.309	0.448	0.025
212.794	0.579	0.053
214.257	0.478	0.053
214.367	0.483	0.05
214.458	0.511	0.053
216.487	0.613	0.056
218.525	0.621	0.031
218.833	0.476	0.03
219.78	0.509	0.034
221.264	0.527	0.029
222.49	0.559	0.04
222.51	0.579	0.041
226.168	0.605	0.041
226.7	0.508	0.036
230.408	0.467	0.029
230.592	0.529	0.053
231.657	0.593	0.051
233.242	0.441	0.037
233.294	0.491	0.037
235.742	0.541	0.094
237.256	0.513	0.031
237.601	0.57	0.055
166.312	0.99	0.022
166.401	0.878	0.071
167.659	0.892	0.026
168.956	0.861	0.046
169.138	0.929	0.064
169.651	1.032	0.064
169.862	0.969	0.04
171.032	0.972	0.075
172.069	0.892	0.04
173.139	0.999	0.026
176.222	0.94	0.029
182.475	0.929	0.02
182.767	0.973	0.021
183.867	1.018	0.048
190.224	1.009	0.023
190.607	0.947	0.08
197.013	0.96	0.042
197.383	0.858	0.019
198.214	1.002	0.075
198.229	1.036	0.072
198.234	0.942	0.049
