,redshift,Xe_H,Xe_He,Xe,T_matter
89,9110.0,1.0,0.0795133856495,1.1590267713,24827.475
90,9100.0,1.0,0.0795133856495,1.1590267713,24800.225
91,9090.0,1.0,0.0795133856495,1.1590267713,24772.975
92,9080.0,1.0,0.0795133856495,1.1590267713,24745.725
93,9070.0,1.0,0.0795133856495,1.1590267713,24718.475
94,9060.0,1.0,0.0795133856495,1.1590267713,24691.225
95,9050.0,1.0,0.0795133856495,1.1590267713,24663.975
96,9040.0,1.0,0.0795133856495,1.1590267713,24636.725
97,9030.0,1.0,0.0795133856495,1.1590267713,24609.475
98,9020.0,1.0,0.0795133856495,1.1590267713,24582.225
99,9010.0,1.0,0.0795133856495,1.1590267713,24554.975
100,9000.0,1.0,0.0795133856495,1.1590267713,24527.725
101,8990.0,1.0,0.0795133856495,1.1590267713,24500.475
102,8980.0,1.0,0.0795133856495,1.1590267713,24473.225
103,8970.0,1.0,0.0795133856495,1.1590267713,24445.975
104,8960.0,1.0,0.0795133856495,1.1590267713,24418.725
105,8950.0,1.0,0.0795133856495,1.1590267713,24391.475
106,8940.0,1.0,0.0795133856495,1.1590267713,24364.225
107,8930.0,1.0,0.0795133856495,1.1590267713,24336.975
108,8920.0,1.0,0.0795133856495,1.1590267713,24309.725
109,8910.0,1.0,0.0795133856495,1.1590267713,24282.475
110,8900.0,1.0,0.0795133856495,1.1590267713,24255.225
111,8890.0,1.0,0.0795133856495,1.1590267713,24227.975
112,8880.0,1.0,0.0795133856495,1.1590267713,24200.725
113,8870.0,1.0,0.0795133856495,1.1590267713,24173.475
114,8860.0,1.0,0.0795133856495,1.1590267713,24146.225
115,8850.0,1.0,0.0795133856495,1.1590267713,24118.975
116,8840.0,1.0,0.0795133856495,1.1590267713,24091.725
117,8830.0,1.0,0.0795133856495,1.1590267713,24064.475
118,8820.0,1.0,0.0795133856495,1.1590267713,24037.225
119,8810.0,1.0,0.0795133856495,1.1590267713,24009.975
120,8800.0,1.0,0.0795133856495,1.1590267713,23982.725
121,8790.0,1.0,0.0795133856495,1.1590267713,23955.475
122,8780.0,1.0,0.0795133856495,1.1590267713,23928.225
123,8770.0,1.0,0.0795133856495,1.1590267713,23900.975
124,8760.0,1.0,0.0795133856495,1.1590267713,23873.725
125,8750.0,1.0,0.0795133856495,1.1590267713,23846.475
126,8740.0,1.0,0.0795133856495,1.1590267713,23819.225
127,8730.0,1.0,0.0795133856495,1.1590267713,23791.975
128,8720.0,1.0,0.0795133856495,1.1590267713,23764.725
129,8710.0,1.0,0.0795133856495,1.1590267713,23737.475
130,8700.0,1.0,0.0795133856495,1.1590267713,23710.225
131,8690.0,1.0,0.0795133856495,1.1590267713,23682.975
132,8680.0,1.0,0.0795133856495,1.1590267713,23655.725
133,8670.0,1.0,0.0795133856495,1.1590267713,23628.475
134,8660.0,1.0,0.0795133856495,1.1590267713,23601.225
135,8650.0,1.0,0.0795133856495,1.1590267713,23573.975
136,8640.0,1.0,0.0795133856495,1.1590267713,23546.725
137,8630.0,1.0,0.0795133856495,1.1590267713,23519.475
138,8620.0,1.0,0.0795133856495,1.1590267713,23492.225
139,8610.0,1.0,0.0795133856495,1.1590267713,23464.975
140,8600.0,1.0,0.0795133856495,1.1590267713,23437.725
141,8590.0,1.0,0.0795133856495,1.1590267713,23410.475
142,8580.0,1.0,0.0795133856495,1.1590267713,23383.225
143,8570.0,1.0,0.0795133856495,1.1590267713,23355.975
144,8560.0,1.0,0.0795133856495,1.1590267713,23328.725
145,8550.0,1.0,0.0795133856495,1.1590267713,23301.475
146,8540.0,1.0,0.0795133856495,1.1590267713,23274.225
147,8530.0,1.0,0.0795133856495,1.1590267713,23246.975
148,8520.0,1.0,0.0795133856495,1.1590267713,23219.725
149,8510.0,1.0,0.0795133856495,1.1590267713,23192.475
150,8500.0,1.0,0.0795133856495,1.1590267713,23165.225
151,8490.0,1.0,0.0795133856495,1.1590267713,23137.975
152,8480.0,1.0,0.0795133856495,1.1590267713,23110.725
153,8470.0,1.0,0.0795133856495,1.1590267713,23083.475
154,8460.0,1.0,0.0795133856495,1.1590267713,23056.225
155,8450.0,1.0,0.0795133856495,1.1590267713,23028.975
156,8440.0,1.0,0.0795133856495,1.1590267713,23001.725
157,8430.0,1.0,0.0795133856495,1.1590267713,22974.475
158,8420.0,1.0,0.0795133856495,1.1590267713,22947.225
159,8410.0,1.0,0.0795133856495,1.1590267713,22919.975
160,8400.0,1.0,0.0795133856495,1.1590267713,22892.725
161,8390.0,1.0,0.0795133856495,1.1590267713,22865.475
162,8380.0,1.0,0.0795133856495,1.1590267713,22838.225
163,8370.0,1.0,0.0795133856495,1.1590267713,22810.975
164,8360.0,1.0,0.0795133856495,1.1590267713,22783.725
165,8350.0,1.0,0.0795133856495,1.1590267713,22756.475
166,8340.0,1.0,0.0795133856495,1.1590267713,22729.225
167,8330.0,1.0,0.0795133856495,1.1590267713,22701.975
168,8320.0,1.0,0.0795133856495,1.1590267713,22674.725
169,8310.0,1.0,0.0795133856495,1.1590267713,22647.475
170,8300.0,1.0,0.0795133856495,1.1590267713,22620.225
171,8290.0,1.0,0.0795133856495,1.1590267713,22592.975
172,8280.0,1.0,0.0795133856495,1.1590267713,22565.725
173,8270.0,1.0,0.0795133856495,1.1590267713,22538.475
174,8260.0,1.0,0.0795133856495,1.1590267713,22511.225
175,8250.0,1.0,0.0795133856495,1.1590267713,22483.975
176,8240.0,1.0,0.0795133856495,1.1590267713,22456.725
177,8230.0,1.0,0.0795133856495,1.1590267713,22429.475
178,8220.0,1.0,0.0795133856495,1.1590267713,22402.225
179,8210.0,1.0,0.0795133856495,1.1590267713,22374.975
180,8200.0,1.0,0.0795133856495,1.1590267713,22347.725
181,8190.0,1.0,0.0795133856495,1.1590267713,22320.475
182,8180.0,1.0,0.0795133856495,1.1590267713,22293.225
183,8170.0,1.0,0.0795133856495,1.1590267713,22265.975
184,8160.0,1.0,0.0795133856495,1.1590267713,22238.725
185,8150.0,1.0,0.0795133856495,1.1590267713,22211.475
186,8140.0,1.0,0.0795133856495,1.1590267713,22184.225
187,8130.0,1.0,0.0795133856495,1.1590267713,22156.975
188,8120.0,1.0,0.0795133856495,1.1590267713,22129.725
189,8110.0,1.0,0.0795133856495,1.1590267713,22102.475
190,8100.0,1.0,0.0795133856495,1.1590267713,22075.225
191,8090.0,1.0,0.0795133856495,1.1590267713,22047.975
192,8080.0,1.0,0.0795133856495,1.1590267713,22020.725
193,8070.0,1.0,0.0795133856495,1.1590267713,21993.475
194,8060.0,1.0,0.0795133856495,1.1590267713,21966.225
195,8050.0,1.0,0.0795133856495,1.1590267713,21938.975
196,8040.0,1.0,0.0795133856495,1.1590267713,21911.725
197,8030.0,1.0,0.0795133856495,1.1590267713,21884.475
198,8020.0,1.0,0.0795133856495,1.1590267713,21857.225
199,8010.0,1.0,0.0795133856495,1.1590267713,21829.975
200,8000.0,1.0,0.0795133856495,1.15902066279,21802.725
201,7990.0,1.0,0.0795133856495,1.15902044921,21775.475
202,7980.0,1.0,0.0795133856495,1.15902022759,21748.225
203,7970.0,1.0,0.0795133856495,1.15901999759,21720.975
204,7960.0,1.0,0.0795133856495,1.15901975889,21693.725
205,7950.0,1.0,0.0795133856495,1.15901951113,21666.475
206,7940.0,1.0,0.0795133856495,1.15901925393,21639.225
207,7930.0,1.0,0.0795133856495,1.15901898693,21611.975
