,redshift,Xe
199,8010.0,1.1590267713
200,8000.0,1.15902066279
201,7990.0,1.15902044921
202,7980.0,1.15902022759
203,7970.0,1.15901999759
204,7960.0,1.15901975889
205,7950.0,1.15901951113
206,7940.0,1.15901925393
207,7930.0,1.15901898693
208,7920.0,1.15901870971
209,7910.0,1.15901842187
210,7900.0,1.15901812296
211,7890.0,1.15901781253
212,7880.0,1.1590174901
213,7870.0,1.15901715519
214,7860.0,1.15901680726
215,7850.0,1.15901644579
216,7840.0,1.15901607022
217,7830.0,1.15901567994
218,7820.0,1.15901527435
219,7810.0,1.15901485281
220,7800.0,1.15901441464
221,7790.0,1.15901395914
222,7780.0,1.1590134856
223,7770.0,1.15901299322
224,7760.0,1.15901248123
225,7750.0,1.15901194879
226,7740.0,1.15901139502
227,7730.0,1.15901081901
228,7720.0,1.15901021981
229,7710.0,1.15900959643
230,7700.0,1.15900894781
231,7690.0,1.15900827287
232,7680.0,1.15900757048
233,7670.0,1.15900683943
234,7660.0,1.15900607849
235,7650.0,1.15900528635
236,7640.0,1.15900446164
237,7630.0,1.15900360294
238,7620.0,1.15900270875
239,7610.0,1.1590017775
240,7600.0,1.15900080757
241,7590.0,1.15899979724
242,7580.0,1.15899874471
243,7570.0,1.15899764811
244,7560.0,1.15899650547
245,7550.0,1.15899531472
246,7540.0,1.15899407372
247,7530.0,1.15899278019
248,7520.0,1.15899143178
249,7510.0,1.158990026
250,7500.0,1.15898856026
251,7490.0,1.15898703182
252,7480.0,1.15898543783
253,7470.0,1.15898377531
254,7460.0,1.1589820411
255,7450.0,1.15898023193
256,7440.0,1.15897834434
257,7430.0,1.15897637471
258,7420.0,1.15897431925
259,7410.0,1.15897217398
260,7400.0,1.15896993473
261,7390.0,1.15896759711
262,7380.0,1.15896515653
263,7370.0,1.15896260817
264,7360.0,1.15895994696
265,7350.0,1.15895716759
266,7340.0,1.15895426448
267,7330.0,1.15895123178
268,7320.0,1.15894806333
269,7310.0,1.15894475269
270,7300.0,1.15894129306
271,7290.0,1.15893767734
272,7280.0,1.15893389803
273,7270.0,1.15892994728
274,7260.0,1.15892581682
275,7250.0,1.15892149799
276,7240.0,1.15891698165
277,7230.0,1.15891225822
278,7220.0,1.15890731763
279,7210.0,1.15890214929
280,7200.0,1.15889674205
281,7190.0,1.1588910842
282,7180.0,1.15888516344
283,7170.0,1.15887896679
284,7160.0,1.15887248065
285,7150.0,1.15886569068
286,7140.0,1.1588585818
287,7130.0,1.15885113815
288,7120.0,1.15884334302
289,7110.0,1.15883517885
290,7100.0,1.15882662715
291,7090.0,1.15881766845
292,7080.0,1.15880828226
293,7070.0,1.15879844701
294,7060.0,1.15878813999
295,7050.0,1.15877733726
296,7040.0,1.15876601366
297,7030.0,1.15875414263
298,7020.0,1.15874169625
299,7010.0,1.15872864508
300,7000.0,1.1587149581
301,6990.0,1.15870060265
302,6980.0,1.15868554431
303,6970.0,1.1586697468
304,6960.0,1.1586531719
305,6950.0,1.15863577933
306,6940.0,1.15861752664
307,6930.0,1.15859836907
308,6920.0,1.15857825947
309,6910.0,1.15855714811
310,6900.0,1.15853498258
311,6890.0,1.15851170763
312,6880.0,1.158487265
313,6870.0,1.15846159327
314,6860.0,1.15843462771
315,6850.0,1.15840630002
316,6840.0,1.15837653824
317,6830.0,1.15834526646
318,6820.0,1.15831240466
319,6810.0,1.15827786846
320,6800.0,1.1582415689
321,6790.0,1.15820341217
322,6780.0,1.1581632994
323,6770.0,1.15812112632
324,6760.0,1.15807678303
325,6750.0,1.15803015366
